nh,dr,loss,acc
16,0.00,1.234082e+00,7.533753e-01	
16,0.20,1.492540e+00,7.353735e-01
16,0.50,1.369105e+00,7.488749e-01
32,0.00,1.026828e+00,8.001800e-01
32,0.20,1.256892e+00,7.560756e-01
32,0.50,1.296779e+00,7.659766e-01
64,0.00,1.033471e+00,7.947795e-01
64,0.20,9.504665e-01,8.235824e-01
64,0.50,1.162159e+00,7.830783e-01
128,0.00,1.055724e+00,8.001800e-01
128,0.20,1.023210e+00,8.343834e-01
128,0.50,1.475645e+00,7.389739e-01
256,0.00,1.222873e+00,7.947795e-01
256,0.20,9.960540e-01,8.280828e-01
256,0.50,1.053368e+00,8.127813e-01
512,0.00,1.344286e+00,8.100810e-01
512,0.20,1.255742e+00,7.983798e-01
512,0.50,1.346962e+00,8.001800e-01
